Dataset,NumCities,semiGreedy,K,ConstructiveHeuristic,PerturbativeHeuristic,InitialTourLength,ImprovedTourLength,ImprovementPercentage,ConstructiveTime,PerturbativeTime,TotalTime
a280,280,Yes,3,Nearest Neighbour Heuristic,2-opt,5567.732153,3045.387584,45.302908,0.009694,0.005431,0.015125
a280,280,Yes,3,Nearest Insertion Heuristic,Node Swap,3201.682753,3128.636435,2.281498,0.040140,0.496065,0.536205
a280,280,Yes,3,Farthest Insertion Heuristic,Node Shift,2934.971787,2845.473892,3.049361,0.040074,3.399191,3.439265
berlin52,52,Yes,3,Nearest Neighbour Heuristic,2-opt,16018.094816,8018.442616,49.941346,0.000308,0.000170,0.000478
berlin52,52,Yes,3,Nearest Insertion Heuristic,Node Swap,9033.291411,8804.337832,2.534553,0.000510,0.003043,0.003553
berlin52,52,Yes,3,Farthest Insertion Heuristic,Node Shift,7911.569144,7687.957667,2.826386,0.000524,0.012828,0.013352
bier127,127,Yes,3,Nearest Neighbour Heuristic,2-opt,238064.371446,132881.202416,44.182659,0.001659,0.000677,0.002336
bier127,127,Yes,3,Nearest Insertion Heuristic,Node Swap,140283.092581,136491.521608,2.702800,0.004652,0.039468,0.044120
bier127,127,Yes,3,Farthest Insertion Heuristic,Node Shift,127549.074769,125089.333001,1.928467,0.005466,0.167228,0.172694
ch130,130,Yes,3,Nearest Neighbour Heuristic,2-opt,12991.778934,6570.752298,49.423768,0.001828,0.000872,0.002700
ch130,130,Yes,3,Nearest Insertion Heuristic,Node Swap,7201.779545,6913.020919,4.009545,0.004951,0.040874,0.045824
ch130,130,Yes,3,Farthest Insertion Heuristic,Node Shift,6502.814113,6426.792548,1.169056,0.005795,0.089209,0.095004
ch150,150,Yes,3,Nearest Neighbour Heuristic,2-opt,12978.512208,7230.617151,44.287781,0.003210,0.002723,0.005933
ch150,150,Yes,3,Nearest Insertion Heuristic,Node Swap,8029.425911,7763.597778,3.310674,0.007336,0.076678,0.084015
ch150,150,Yes,3,Farthest Insertion Heuristic,Node Shift,7232.797508,6920.022152,4.324404,0.007526,0.320993,0.328519
eil101,101,Yes,3,Nearest Neighbour Heuristic,2-opt,1112.934453,699.896323,37.112530,0.001118,0.000421,0.001539
eil101,101,Yes,3,Nearest Insertion Heuristic,Node Swap,730.022732,709.793590,2.771029,0.002579,0.011466,0.014045
eil101,101,Yes,3,Farthest Insertion Heuristic,Node Shift,699.821224,665.049794,4.968616,0.002683,0.186836,0.189520
eil51,51,Yes,3,Nearest Neighbour Heuristic,2-opt,751.882227,448.409156,40.361783,0.000275,0.000106,0.000381
eil51,51,Yes,3,Nearest Insertion Heuristic,Node Swap,487.560621,470.849668,3.427462,0.000502,0.002136,0.002638
eil51,51,Yes,3,Farthest Insertion Heuristic,Node Shift,472.727526,445.127078,5.838553,0.000510,0.012663,0.013173
eil76,76,Yes,3,Nearest Neighbour Heuristic,2-opt,1067.116238,580.645840,45.587386,0.000643,0.000358,0.001001
eil76,76,Yes,3,Nearest Insertion Heuristic,Node Swap,623.024856,610.534948,2.004721,0.001278,0.006689,0.007966
eil76,76,Yes,3,Farthest Insertion Heuristic,Node Shift,580.413516,569.245932,1.924074,0.002471,0.043799,0.046270
kroA100,100,Yes,3,Nearest Neighbour Heuristic,2-opt,47902.126245,22654.051460,52.707629,0.001051,0.000526,0.001577
kroA100,100,Yes,3,Nearest Insertion Heuristic,Node Swap,25513.094194,25296.805899,0.847754,0.002643,0.015258,0.017901
kroA100,100,Yes,3,Farthest Insertion Heuristic,Node Shift,23301.516557,22838.217287,1.988279,0.002828,0.060883,0.063711
kroB100,100,Yes,3,Nearest Neighbour Heuristic,2-opt,49001.407712,24590.148148,49.817466,0.001232,0.000593,0.001825
kroB100,100,Yes,3,Nearest Insertion Heuristic,Node Swap,26383.848245,25644.849823,2.800950,0.002826,0.022866,0.025692
kroB100,100,Yes,3,Farthest Insertion Heuristic,Node Shift,23014.228784,22555.331814,1.993971,0.002557,0.052559,0.055116
kroC100,100,Yes,3,Nearest Neighbour Heuristic,2-opt,44390.262170,22291.184609,49.783616,0.001059,0.000626,0.001686
kroC100,100,Yes,3,Nearest Insertion Heuristic,Node Swap,26579.851891,26176.906335,1.515981,0.002502,0.017387,0.019889
kroC100,100,Yes,3,Farthest Insertion Heuristic,Node Shift,22115.993591,22041.919582,0.334934,0.002601,0.017432,0.020033
kroD100,100,Yes,3,Nearest Neighbour Heuristic,2-opt,42867.987097,22788.492628,46.840302,0.001070,0.000659,0.001729
kroD100,100,Yes,3,Nearest Insertion Heuristic,Node Swap,25720.173909,24567.862493,4.480185,0.004326,0.020469,0.024795
kroD100,100,Yes,3,Farthest Insertion Heuristic,Node Shift,24169.313368,23363.090636,3.335729,0.002827,0.104416,0.107244
kroE100,100,Yes,3,Nearest Neighbour Heuristic,2-opt,44792.868615,24874.570022,44.467566,0.001068,0.000514,0.001582
kroE100,100,Yes,3,Nearest Insertion Heuristic,Node Swap,27491.399673,26890.262529,2.186637,0.002474,0.016631,0.019104
kroE100,100,Yes,3,Farthest Insertion Heuristic,Node Shift,23540.379665,23328.926897,0.898256,0.002650,0.053159,0.055808
lin105,105,Yes,3,Nearest Neighbour Heuristic,2-opt,30658.231587,15911.946523,48.098942,0.001069,0.000678,0.001747
lin105,105,Yes,3,Nearest Insertion Heuristic,Node Swap,18251.712101,17598.339183,3.579790,0.002696,0.019494,0.022190
lin105,105,Yes,3,Farthest Insertion Heuristic,Node Shift,15031.219442,14657.185570,2.488380,0.002945,0.072745,0.075690
lin318,318,Yes,3,Nearest Neighbour Heuristic,2-opt,88862.734880,46278.385486,47.921493,0.012443,0.006626,0.019069
lin318,318,Yes,3,Nearest Insertion Heuristic,Node Swap,52690.092425,51706.161301,1.867393,0.058278,0.567464,0.625742
lin318,318,Yes,3,Farthest Insertion Heuristic,Node Shift,46266.138835,45316.419901,2.052730,0.060208,4.834156,4.894364
pr124,124,Yes,3,Nearest Neighbour Heuristic,2-opt,123273.517648,60783.040977,50.692540,0.002130,0.001391,0.003521
pr124,124,Yes,3,Nearest Insertion Heuristic,Node Swap,72373.402513,72093.872927,0.386232,0.005583,0.025650,0.031232
pr124,124,Yes,3,Farthest Insertion Heuristic,Node Shift,66669.853676,62713.367621,5.934445,0.008000,0.306739,0.314740
pr144,144,Yes,3,Nearest Neighbour Heuristic,2-opt,148630.160689,62135.118935,58.194811,0.002348,0.001155,0.003503
pr144,144,Yes,3,Nearest Insertion Heuristic,Node Swap,70744.173069,70158.773473,0.827488,0.008668,0.037768,0.046436
pr144,144,Yes,3,Farthest Insertion Heuristic,Node Shift,60911.441573,60711.052161,0.328985,0.008505,0.223017,0.231522
pr76,76,Yes,3,Nearest Neighbour Heuristic,2-opt,224581.562104,117593.884160,47.638674,0.000705,0.000342,0.001047
pr76,76,Yes,3,Nearest Insertion Heuristic,Node Swap,124889.613950,123478.959907,1.129521,0.001563,0.015950,0.017513
pr76,76,Yes,3,Farthest Insertion Heuristic,Node Shift,113919.644064,113611.001476,0.270930,0.001899,0.016106,0.018005
rat195,195,Yes,3,Nearest Neighbour Heuristic,2-opt,4390.929825,2585.327100,41.121193,0.006220,0.002942,0.009161
rat195,195,Yes,3,Nearest Insertion Heuristic,Node Swap,2827.863476,2775.597875,1.848236,0.023399,0.151843,0.175242
rat195,195,Yes,3,Farthest Insertion Heuristic,Node Shift,2621.510550,2559.112861,2.380219,0.020309,1.004711,1.025019
rat99,99,Yes,3,Nearest Neighbour Heuristic,2-opt,2394.438262,1362.746574,43.087003,0.001112,0.000579,0.001691
rat99,99,Yes,3,Nearest Insertion Heuristic,Node Swap,1487.761470,1386.637059,6.797085,0.002791,0.020912,0.023703
rat99,99,Yes,3,Farthest Insertion Heuristic,Node Shift,1307.000386,1284.055361,1.755548,0.005137,0.114309,0.119446
st70,70,Yes,3,Nearest Neighbour Heuristic,2-opt,1414.827558,778.212724,44.995931,0.000559,0.000225,0.000784
st70,70,Yes,3,Nearest Insertion Heuristic,Node Swap,794.201577,786.054094,1.025871,0.001307,0.004390,0.005697
st70,70,Yes,3,Farthest Insertion Heuristic,Node Shift,711.968167,711.968167,0.000000,0.001381,0.006815,0.008196
